orderId,detailId,skuNo,catergory1,catergory2,catergory3,menuTitle,type,amount,cnt,optExtra,size,cupInfo,opt1,opt2,opt3,opt5,opt6,opt7,opt8,opt9,foam1_cnt,foam1_price,foam2_cnt,foam2_price,foam3_cnt,foam3_price,foam4_cnt,foam4_price,foam5_cnt,foam5_price,foam6_cnt,foam6_price,foam7_cnt,foam7_price,foam8_cnt,foam8_price,foam9_cnt,foam9_price,foam10_cnt,foam10_price,foam11_cnt,foam11_price,foam12_cnt,foam12_price,addshot_cnt,addshot_price,addshot2_cnt,addshot2_price,addshot3_cnt,addshot3_price,addshot4_cnt,addshot4_price,prepareStartTime,prepareEndTime,simultaneousPrepare
24030700999911001,24030700999911001001,,,,,카페라떼,0,3500,1,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24030700999911001,24030700999911001002,,,,,콜드브루,0,4000,1,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240312099916001,240312099916001001,BCCF000023,B,C,CF,아메리카노,1,1200,1,NULL,1,2,1,0,0,0,0,0,0,0,1,400,0,400,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,1710237008645,1710237009645,1
240312099916001,240312099916001002,BCCF000027,B,C,CF,"카페 라떼",1,4800,1,NULL,3,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,1710237008645,1710237009645,1
240312099916002,240312099916002001,BCCF000023,B,C,CF,아메리카노,1,3000,1,NULL,3,1,1,0,0,0,0,0,0,0,0,400,0,400,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,1
240312099916002,240312099916002002,BCCF000001,B,C,CF,"꿀 라떼",1,3100,1,NULL,2,2,1,0,0,0,0,5,0,0,1,400,1,400,0,400,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,1
240313099916001,240313099916001001,BCCF000027,B,C,CF,"카페 라떼",1,2200,1,NULL,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,400,0,0,0,0,0,0,1710342288101,1710342289101,1
240313099916002,240313099916002001,BCCF000020,B,C,CF,"바닐라 라떼",1,5200,1,NULL,3,1,2,0,0,0,0,4,0,0,1,400,1,400,1,400,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,1710342289424,1710342290424,1
240314099911001,240314099911001001,BNLT000042,B,N,LT,"고구마 라떼",1,3400,1,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240314099911006,240314099911006001,BNLT000042,B,N,LT,"고구마 라떼",1,3400,1,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1710428756067,1710428757067,0
240314099911007,240314099911007001,BNLT000042,B,N,LT,"고구마 라떼",1,3400,1,NULL,1,0,0,0,0,0,0,0,0,0,1,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1710429486922,1710429487922,0
240314099911008,240314099911008001,BNLT000042,B,N,LT,"고구마 라떼",1,2600,1,NULL,1,0,0,0,0,0,0,0,0,0,2,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1710429672877,1710429673877,0
